100	7511671.831	4691923.463	616.999	100
101	7511672.448	4691927.188	616.99	101
102	7511671.615	4691927.421	616.96	102
103	7511675.256	4691951.141	616.891	103
104	7511674.792	4691951.915	616.978	104
105	7511675.566	4691955.541	616.987	105
106	7511676.606	4691955.897	616.896	106
107	7511679.02	4691970.983	616.927	107
108	7511679.056	4691971.461	616.892	108
109	7511659.987	4691957.771	616.974	109
110	7511660.7	4691962.832	616.988	110
111	7511659.451	4691952.99	617.044	111
112	7511657.855	4691938.552	616.526	112
