1 7511661.5650 4691962.8320 617.2390 "PERDHESA"
2 7511668.6060 4691961.7360 617.1370 "PERDHESA-TERAS"
3 7511663.0590 4691974.0270 617.1370 "PERDHESA-TERAS"
4 7511669.1580 4691965.7480 617.6070 "PERDHESA"
5 7511673.4440 4691965.1030 617.1080 "PERDHESA"
10 7511670.1000 4691972.9310 622.7050 "PERDHESA"
302 7511674.4349 4691972.3899 617.6070 "PERDHESA"
303 7511670.1326 4691973.0373 617.6070 "PERDHESA"
